trading_symbol,exchange,type,name,instrument_key
GRASIM25JUN2480PE,NSE_FO,OPTSTK,GRASIM INDUSTRIES LTD,NSE_FO|91749
GMRAIRPORT25JUN77PE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91730
GMRAIRPORT25JUN79CE,NSE_FO,OPTSTK,GMR AIRPORTS LIMITED,NSE_FO|91731
DIVISLAB25JUL6950PE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91732
DIVISLAB25JUL7050CE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91733
DIVISLAB25JUL7050PE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91734
DIVISLAB25JUL7150CE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91735
DIVISLAB25JUL7150PE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91736
DIVISLAB25JUL7250CE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91737
TITAGARH25JUN1060CE,NSE_FO,OPTSTK,TITAGARH RAIL SYSTEMS LTD,NSE_FO|52170
SOLARINDS25JUN17500CE,NSE_FO,OPTSTK,SOLAR INDUSTRIES (I) LTD,NSE_FO|52168
SOLARINDS25JUN17500PE,NSE_FO,OPTSTK,SOLAR INDUSTRIES (I) LTD,NSE_FO|52169
DIVISLAB25JUL7250PE,NSE_FO,OPTSTK,DIVI S LABORATORIES LTD,NSE_FO|91738
GOLD25NOV81300PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123574
GOLD25NOV81400CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123575
GOLD25NOV81200PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123572
GOLD25NOV81300CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123573
GOLD25NOV81500PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123578
GOLD25NOV81600CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123579
GOLD25NOV81400PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123576
GOLD25NOV81500CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123577
GBPINR25814116.75PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|3240
GOLD25NOV81100PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123570
GOLD25NOV81200CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123571
EURINR26MAR93.75CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3233
GBPINR25JUN115PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|3231
EURINR2571896.25CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3232
EURINR2580893.25CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3237
GBPINR25814116.75CE,NCD_FO,OPTCUR,GBPINR,NCD_FO|3238
EURINR2571896.25PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3235
EURINR2571896.5CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3236
GOLD25NOV81100CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123569
CRUDEOIL25JUN4800CE,NSE_COM,OPTFUT,CRUDEOIL,NSE_COM|123585
GOLD25JUL84200PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123586
GOLD25NOV81700PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123583
ZINC25JUL277.5PE,NSE_COM,OPTFUT,ZINC,NSE_COM|123584
GOLD25SEP84700CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123589
GOLD25SEP84600CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123587
GOLD25SEP84600PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123588
EURINR25DEC93.25PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3251
GOLD25SEP95000PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123581
EURINR2571896.5PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3252
GOLD25NOV81700CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123582
GOLD25NOV81600PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123580
EURINR26MAR93.75PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3244
EURINR2580893.25PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3242
GOLD25NOV80200PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123552
GOLD25NOV80300CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123553
GOLD25NOV80100PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123550
GOLD25NOV80200CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123551
GOLD25NOV80400PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123556
GOLD25NOV80500CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123557
GOLD25NOV80300PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123554
GOLD25NOV80400CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123555
EURINR25DEC93PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3210
USDINR26MAR79.5PE,NCD_FO,OPTCUR,USDINR,NCD_FO|3215
EURINR2580893CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3216
JPYINR26MAYFUT,NCD_FO,FUTCUR,JPYINR,NCD_FO|3219
GOLD25NOV80100CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123549
EURINR2580893PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3217
GOLD25NOV80000CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123547
EURINR26MAR93.25CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3218
GOLD25NOV80000PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123548
GOLD25NOV80800CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123563
GOLD25NOV80800PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123564
GOLD25NOV80700CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123561
GOLD25NOV80700PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123562
GOLD25NOV81000CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123567
GOLD25NOV81000PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123568
GOLD25NOV80900CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123565
GOLD25NOV80900PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123566
EURINR26MAR93.5PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3230
GOLD25NOV80600PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123560
EURINR25DEC93.25CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3220
EURINR2571896PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3226
USDINR26MAYFUT,NCD_FO,FUTCUR,USDINR,NCD_FO|3225
EURINR26MAR93.25PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3228
GOLD25NOV80500PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123558
EURINR26MAR93.5CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3229
GOLD25NOV80600CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123559
SILVER25SEP101000PE,NSE_COM,OPTFUT,SILVER,NSE_COM|123530
SILVER25SEP101250CE,NSE_COM,OPTFUT,SILVER,NSE_COM|123531
SILVERM25NOV88750CE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123534
SILVERM25NOV88750PE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123535
ZINC25JUL272.5PE,NSE_COM,OPTFUT,ZINC,NSE_COM|123532
ZINC25JUL275CE,NSE_COM,OPTFUT,ZINC,NSE_COM|123533
EURINR2580193.25PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3280
GBPINR25613106PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|3281
EURINR2580193.5CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3282
EURINR25DEC93.5PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3278
EURINR26MAR94.5CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3275
EURINR2580893.75CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3279
SILVERM26APR94000PE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123527
SILVER25SEP100750PE,NSE_COM,OPTFUT,SILVER,NSE_COM|123528
GOLDM25JUL99000PE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123525
SILVERM26APR94000CE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123526
SILVER25SEP101000CE,NSE_COM,OPTFUT,SILVER,NSE_COM|123529
SILVERM25NOV89500PE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123541
ZINC25JUL275PE,NSE_COM,OPTFUT,ZINC,NSE_COM|123542
SILVERM25NOV89500CE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123540
GOLD25NOV79900CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123545
GOLD25NOV79900PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123546
ZINC25JUL277.5CE,NSE_COM,OPTFUT,ZINC,NSE_COM|123543
GOLD25NOV79800PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123544
EURINR25DEC93.75CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3291
EURINR2580893.75PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3292
EURINR2580193.75CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3295
GBPINR25613106.25PE,NCD_FO,OPTCUR,GBPINR,NCD_FO|3296
EURINR26MAR94.75CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3293
GBPINR25613106.25CE,NCD_FO,OPTCUR,GBPINR,NCD_FO|3294
EURINR26MAR94.5PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3289
EURINR2580193.5PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3287
SILVERM25NOV89250CE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123538
SILVERM25NOV89250PE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123539
SILVERM25NOV89000CE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123536
SILVERM25NOV89000PE,NSE_COM,OPTFUT,SILVERM,NSE_COM|123537
GOLDM25AUG99800PE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123512
CRUDEOIL25JUN4700CE,NSE_COM,OPTFUT,CRUDEOIL,NSE_COM|123513
GOLD25SEP94800CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123510
GOLD25SEP94800PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123511
EURINR26MAR94CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3262
EURINR25JUL93.25PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3263
EURINR25DEC93.5CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3256
EURINR2571896.75CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3253
EURINR2571896.75PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3254
ALKEM25JUL4550PE,NSE_FO,OPTSTK,ALKEM LABORATORIES LTD.,NSE_FO|76195
GOLD25SEP94700PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123505
ALKEM25JUL4550CE,NSE_FO,OPTSTK,ALKEM LABORATORIES LTD.,NSE_FO|76192
GOLDM25JUL98600PE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123506
GOLD25JUL95700PE,NSE_COM,OPTFUT,GOLD,NSE_COM|123503
GOLD25SEP94700CE,NSE_COM,OPTFUT,GOLD,NSE_COM|123504
GOLDM25AUG99800CE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123509
GOLDM25JUL98700CE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123507
GOLDM25JUL98700PE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123508
GOLDM25JUL98800CE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123520
GOLDM25JUL98900PE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123523
GOLDM25JUL99000CE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123524
GOLDM25JUL98800PE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123521
GOLDM25JUL98900CE,NSE_COM,OPTFUT,GOLDM,NSE_COM|123522
EURINR2580893.5PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3270
EURINR26MAR94.25CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3273
EURINR26MAR94.25PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3274
GBPINR25613106CE,NCD_FO,OPTCUR,GBPINR,NCD_FO|3272
EURINR26MAR94PE,NCD_FO,OPTCUR,EURINR,NCD_FO|3266
EURINR25JUL93.5CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3267
EURINR2571897CE,NCD_FO,OPTCUR,EURINR,NCD_FO|3264
